label,kernel,n_restarts,alpha,mean_rmse,std_rmse,mean_mae,std_mae,mean_r2,std_r2,mean_coverage_90,std_coverage_90,mean_nlpd,mean_lml
selectivity,White + Matern,16,1e-06,5.591873740262525,1.3370518155295725,3.634396412133102,0.7012804223659551,0.8289620831371015,0.08159390891459092,0.8852631578947369,0.07712995832304154,3.2006996712876674,-84.9361359953964
selectivity,White + Matern,8,1e-06,5.591958048320822,1.3370480723509273,3.6345132964520315,0.7012988692073427,0.8289574900554129,0.08159276502906296,0.8852631578947369,0.07712995832304154,3.2006991416653587,-84.93624544421097
selectivity,White + Matern,16,0.0001,5.609699677965616,1.3315840327287443,3.6439117241339276,0.6967906694684639,0.828109255078926,0.08111192316977377,0.8842105263157894,0.07663273567663702,3.206109212173138,-84.90741392143731
selectivity,White + Matern,16,1e-10,5.609783959189015,1.331581146414139,3.6440311201770186,0.6968069714177897,0.8281046204318904,0.08111096884622511,0.8842105263157894,0.07663273567663702,3.2057718119431975,-84.90751987653552
selectivity,White + Matern,8,1e-10,5.609823407111276,1.3315323489732838,3.6438693621027936,0.6968191178527999,0.8281035746914144,0.08110431469502974,0.8842105263157894,0.07663273567663702,3.2056294804304817,-84.91062538834728
selectivity,White + Matern,8,0.0001,5.609828453645154,1.3315277345603795,3.6438698820523054,0.696818057708874,0.8281034040404123,0.08110389566952868,0.8842105263157894,0.07663273567663702,3.2059664742359946,-84.91062890561281
selectivity,White + RBF,8,1e-06,5.751593714934517,1.3070561997714902,3.829625488996449,0.6524954458475141,0.8199223520344521,0.08243646351165758,0.8826315789473682,0.07409845961591593,3.1997393439506885,-86.60199012759092
selectivity,White + RBF,8,1e-10,5.751600083705444,1.3070517903468157,3.829627050994861,0.6524943569257522,0.8199219718114493,0.08243637128586098,0.8826315789473682,0.07409845961591593,3.1997382354902926,-86.60199159396915
selectivity,White + RBF,16,1e-06,5.754060793512204,1.3095438436353415,3.8285768234148416,0.6521818278372693,0.819683708738868,0.08287802662599095,0.8821052631578945,0.07410406697599174,3.200200478452837,-86.59815479005674
selectivity,White + RBF,16,0.0001,5.765292359218063,1.2919463185930873,3.8343139682602287,0.6483387386506884,0.8193250766888205,0.08181066349113655,0.8805263157894736,0.07630852960023991,3.2040323048024932,-86.58811376009882
selectivity,White + RBF,8,0.0001,5.765544564685073,1.291953362996564,3.8350345636925476,0.6485945667559452,0.8193106751810878,0.08180801837803399,0.8805263157894736,0.07630852960023991,3.2040663901844924,-86.59138645217607
selectivity,White + RBF,16,1e-10,5.767444828060788,1.3290855537747004,3.835992142136299,0.6546439340134412,0.8187180972510139,0.08400654157586107,0.8831578947368419,0.07408911307270642,3.2034377084138606,-86.59234565806753
