label,kernel,n_restarts,alpha,mean_rmse,std_rmse,mean_mae,std_mae,mean_r2,std_r2,mean_coverage_90,std_coverage_90,mean_nlpd,mean_lml
deposition,White + Matern,8,1e-06,2.55751891814155,0.43023988656100604,1.4928326970280856,0.2371704033401742,0.9270033153316183,0.024725737835507952,0.8901754385964913,0.04280270326260529,2.4306689550761895,-55.496689807383
deposition,White + Matern,8,0.0001,2.5575189208314706,0.43024012159657393,1.4928326110255292,0.23717064627881268,0.9270033191106103,0.024725734600394508,0.8901754385964913,0.04280270326260529,2.431256842024043,-55.496689807381365
deposition,White + Matern,16,0.0001,2.557518991538934,0.43024009627051923,1.4928326433737829,0.23717070289887712,0.9270033164392967,0.024725731211113967,0.8901754385964913,0.04280270326260529,2.4312568323887422,-55.496689807160394
deposition,White + Matern,16,1e-06,2.5575190249993955,0.4302398660000449,1.492832733934519,0.23717046027080343,0.927003312191259,0.02472573204446711,0.8901754385964913,0.04280270326260529,2.4306689560175667,-55.49668980716706
deposition,White + Matern,8,1e-10,2.5575191902940837,0.4302397493727185,1.4928329051783367,0.23717043433599883,0.9270033031996918,0.02472572576875135,0.8901754385964913,0.04280270326260529,2.4306628933406462,-55.496689807735045
deposition,White + Matern,16,1e-10,2.5575191942568165,0.43023976196669617,1.4928329123612034,0.23717043265616236,0.9270033028540555,0.024725726725507925,0.8901754385964913,0.04280270326260529,2.4306628998128783,-55.49668980772657
deposition,White + RBF,8,1e-06,2.634799907906999,0.4058358715869071,1.6418191007812468,0.23544166133549313,0.9225881751842228,0.02487102099194572,0.8824561403508773,0.043578043327628845,2.440990034642899,-62.55282071312848
deposition,White + RBF,16,1e-06,2.6348002267227453,0.40583605135584455,1.6418192740263242,0.2354416612569292,0.9225881544023609,0.02487103541278001,0.8824561403508773,0.043578043327628845,2.4409901608353617,-62.55282071302213
deposition,White + RBF,8,1e-10,2.6348003277995655,0.4058359934859707,1.6418190017403855,0.23544178322602652,0.9225881487767902,0.024871033370050834,0.8824561403508773,0.043578043327628845,2.4409878559522116,-62.5528207118573
deposition,White + RBF,16,1e-10,2.634800377611518,0.4058360386534647,1.6418190627028064,0.23544177847553938,0.922588145051765,0.024871038412858565,0.8824561403508773,0.043578043327628845,2.440987886878665,-62.55282071182899
deposition,White + RBF,8,0.0001,2.642519210218856,0.4109966840855396,1.6474496338674027,0.24188353671592097,0.9222106540941409,0.024778421457991064,0.880701754385965,0.044659375653887216,2.446997844709698,-62.469379849595114
deposition,White + RBF,16,0.0001,2.642519303701631,0.4109967673919472,1.6474496766774598,0.24188356721851137,0.9222106472860243,0.024778427928376555,0.880701754385965,0.044659375653887216,2.4469978632384373,-62.46937984950773
